kSize,cost,weightedEntropy
20,17906.711005650985,1.5457943529498221
40,17886.63599391541,1.5456851183217313
60,17859.77706406248,1.5452338671907455
80,17839.81260175749,1.545127905477581
100,17810.64756543373,1.544464325771586
